ticker,isin,fund_name,inception_date,category,rating,risk_rating,performance_rating,equity_style_score,equity_size_score,price_prospective_earnings,price_book_ratio,price_sales_ratio,price_cash_flow_ratio,dividend_yield_factor,long_term_projected_earnings_growth,historical_earnings_growth,sales_growth,cash_flow_growth,book_value_growth,roa,roe,roic,asset_stock,asset_bond,asset_cash,asset_other,sector_basic_materials,sector_consumer_cyclical,sector_financial_services,sector_consumer_defensive,sector_communication_services,sector_industrials,sector_technology,market_cap_giant,market_cap_large,market_cap_medium,market_cap_small,market_cap_micro,ongoing_cost,management_fees,environmental_score,social_score,governance_score,sustainability_score,involvement_abortive_contraceptive,involvement_alcohol,involvement_animal_testing,involvement_controversial_weapons,involvement_gambling,involvement_gmo,involvement_military_contracting,involvement_nuclear,involvement_palm_oil,involvement_pesticides,involvement_small_arms,involvement_thermal_coal,involvement_tobacco,nav_per_share,shareclass_size,fund_size,fund_trailing_return_ytd,fund_trailing_return_3years,fund_trailing_return_5years,fund_return_2019,fund_return_2018,fund_return_2017,fund_return_2016,fund_return_2020_q3,fund_return_2020_q2,fund_return_2020_q1,fund_return_2019_q4,fund_return_2019_q3,fund_return_2019_q2,fund_return_2019_q1,fund_return_2018_q4,fund_return_2018_q3,fund_return_2018_q2,fund_return_2018_q1,fund_return_2017_q4,fund_return_2017_q3,fund_return_2017_q2,fund_return_2017_q1,fund_return_2016_q4,fund_return_2016_q3,fund_return_2016_q2,fund_return_2016_q1,fund_return_2015_q4,quarters_up,quarters_down
0P00000C5S,CH0008899764,iShares SMI® ETF (CH),1999-10-06,Switzerland Equity,3.0,3.0,3.0,161.43,328.15,15.73,2.46,2.21,14.8,3.23,6.99,6.24,1.25,5.94,-1.79,8.23,22.69,15.05,99.81,0.0,0.19,0.0,8.72,4.57,17.72,17.24,1.24,8.59,0.0,61.8,36.32,1.88,0.0,0.0,0.35,0.0,3.37,10.65,8.42,22.44,40.19,0.0,64.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.36,0.0,0.0,108.8,1976640000.0,1976640000.0,8.69,10.75,12.12,26.84,-2.77,11.71,12.96,-0.1,12.34,-4.91,0.8,2.86,11.27,9.95,-6.01,8.64,2.74,-7.32,0.82,-1.55,5.14,7.04,1.45,5.1,10.47,-4.09,4.18,15,8
0P00000FYY,SE0000693293,XACT OMXS30 UCITS ETF,2000-10-30,Sweden Equity,2.0,2.0,2.0,154.89,248.09,14.9,1.87,1.77,10.26,1.45,7.6,8.97,2.66,7.23,4.43,7.4,16.14,11.22,99.99,0.0,0.01,0.0,3.72,6.06,22.15,6.71,5.15,37.48,14.59,17.21,67.43,15.36,0.0,0.0,0.1,0.1,3.79,8.61,8.12,20.52,3.09,0.0,8.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73,241.2,8178650000.0,7934210000.0,17.61,6.91,11.88,19.17,-8.91,8.41,20.77,9.3,21.47,-15.91,5.52,-0.9,8.57,4.97,-13.2,8.85,2.91,-6.32,-4.83,2.17,4.14,7.05,5.21,11.32,1.66,1.43,4.99,16,7
0P00000GCE,DE000A0H08N1,iShares STOXX Europe 600 Personal & Household Goods UCITS ETF (DE),2002-07-08,Sector Equity Consumer Goods & Services,3.0,3.0,3.0,165.71,308.52,17.64,2.54,2.38,14.41,2.59,4.95,-10.14,5.86,6.15,18.05,5.7,14.88,8.47,99.46,0.0,0.54,0.0,0.0,42.49,0.0,54.01,1.8,0.74,0.97,72.07,15.71,12.22,0.0,0.0,0.46,0.0,4.45,7.41,6.97,18.91,8.59,14.84,54.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18,0.0,13.42,88.66,119030000.0,119030000.0,8.9,5.41,11.07,26.84,-14.82,16.63,19.5,3.1,16.59,-13.83,1.79,0.95,6.27,16.16,-14.45,1.39,4.89,-6.37,0.59,-0.58,2.85,13.4,-1.51,5.34,8.17,6.48,4.83,17,6
0P00000GF2,DE0006289465,iShares eb.rexx® Government Germany UCITS ETF (DE),2003-02-04,EUR Government Bond,2.0,2.0,2.0,158.64,301.04,15.65,1.66,1.33,9.25,2.65,9.15,3.51,4.21,5.98,5.2,5.21,14.32,9.69,0.0,99.86,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.42,359390000.0,359390000.0,6.87,1.04,5.66,-4.79,2.11,2.76,18.6,-0.35,3.01,5.07,-5.88,-0.55,4.82,-2.97,1.78,-0.04,1.73,-1.35,0.43,0.84,1.73,-0.25,-2.14,4.21,6.04,9.67,0.05,13,10
0P00000GKU,IE0032523478,iShares € Corp Bond Large Cap UCITS ETF EUR (Dist),2003-03-17,EUR Corporate Bond,3.0,3.0,3.0,158.64,301.04,15.65,1.66,1.33,9.25,2.65,9.15,3.51,4.21,5.98,5.2,5.21,14.32,9.69,0.0,96.04,-0.03,3.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,4.45,10.25,8.94,23.95,5.71,3.04,14.26,0.51,0.0,0.0,0.51,4.31,0.0,1.09,0.38,1.23,1.24,141.65,3903070000.0,3903070000.0,8.39,2.58,7.51,0.24,-0.27,5.63,20.63,1.47,8.52,-1.77,-4.73,0.04,5.85,-0.64,0.17,0.61,0.74,-1.77,1.26,1.33,2.9,0.05,-2.74,5.58,6.26,10.55,1.38,16,7
0P00000GVP,IE0032895942,iShares $ Corp Bond UCITS ETF USD (Dist),2003-03-15,USD Corporate Bond,5.0,5.0,5.0,158.64,301.04,15.65,1.66,1.33,9.25,2.65,9.15,3.51,4.21,5.98,5.2,5.21,14.32,9.69,0.0,96.47,0.42,3.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,3.76,11.56,8.58,24.64,9.78,2.22,15.17,2.65,0.18,0.0,2.65,1.78,0.0,0.04,0.77,1.57,1.55,130.45,7325570000.0,10097800000.0,9.26,7.59,10.01,13.32,2.03,-2.44,27.28,-3.64,8.85,4.44,-5.07,6.38,7.94,3.96,1.42,2.56,4.77,-6.38,0.34,-1.94,-0.67,-0.18,1.5,3.86,12.02,7.78,2.31,16,7
0P00000H5N,LU0147308422,UBS ETF - MSCI EMU UCITS ETF (EUR) A-dis,2002-09-19,Eurozone Large-Cap Equity,4.0,3.0,4.0,148.25,275.97,14.34,1.32,0.97,7.89,2.6,10.44,-1.07,0.7,5.49,4.09,3.53,10.04,6.39,99.3,0.0,0.7,0.0,7.06,14.79,13.76,10.14,6.25,14.82,11.06,45.04,41.76,13.1,0.09,0.0,0.2,0.18,4.65,8.27,7.8,20.73,5.92,5.63,23.61,1.93,0.63,0.0,2.18,4.57,0.0,2.66,0.95,2.81,0.0,121.28,747040000.0,3890450000.0,0.17,1.67,9.2,20.14,-12.0,17.61,20.39,0.1,20.37,-22.24,1.15,1.48,8.37,8.0,-12.5,1.04,3.91,-4.21,0.31,4.58,4.37,7.41,6.54,10.94,2.12,-0.26,7.3,17,6
0P00000H5W,LU0136240974,UBS ETF - MSCI Japan UCITS ETF (JPY) A-dis,2001-10-30,Japan Large-Cap Equity,3.0,2.0,3.0,146.53,286.08,17.8,1.19,0.88,8.4,2.75,9.43,-3.99,3.52,2.95,4.93,4.72,8.75,7.17,99.63,0.0,0.37,0.0,5.19,15.09,9.06,7.33,9.69,21.08,14.9,51.58,38.08,10.34,0.0,0.0,0.22,0.19,5.01,9.8,9.11,23.96,4.62,1.1,19.72,0.0,0.17,0.0,0.25,1.04,0.0,0.33,0.04,0.78,1.45,5220.0,73469830000.0,270782530000.0,7.68,3.97,9.83,14.57,-8.52,13.66,20.92,2.73,12.58,-10.88,-1.13,6.89,2.95,5.31,-13.0,5.15,3.02,-2.93,7.86,0.39,0.83,4.11,4.44,11.49,8.68,-4.45,12.12,16,7
0P00000HUH,FR0007075494,Lyxor DJ Global Titans 50 UCITS ETF Dist,2003-01-08,Global Large-Cap Blend Equity,5.0,3.0,5.0,191.48,381.38,21.84,4.35,3.5,14.7,1.88,9.64,10.91,7.5,8.32,4.54,11.07,31.07,16.95,100.0,0.0,0.0,0.0,0.78,13.45,8.92,10.5,14.28,0.67,34.97,91.04,8.96,0.0,0.0,0.0,0.4,0.4,2.83,11.35,8.66,22.84,13.32,0.0,24.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.78,44.53,96660000.0,96660000.0,14.52,13.34,17.01,25.91,1.24,10.88,30.04,4.97,16.48,-7.73,1.7,4.54,6.68,11.02,-11.53,10.01,10.08,-5.5,5.67,0.64,-0.81,5.13,7.05,8.44,9.31,2.47,11.87,17,6
0P00000HUX,FR0007056841,Lyxor Dow Jones Industrial Average UCITS ETF Dist,2001-04-04,US Large-Cap Blend Equity,3.0,2.0,3.0,121.69,314.59,18.15,3.22,2.09,13.61,2.46,7.56,13.87,6.41,-1.91,5.91,8.65,28.57,14.66,100.0,0.0,0.0,0.0,1.13,14.89,16.9,8.04,4.43,15.55,18.26,61.75,37.41,0.85,0.0,0.0,0.5,0.5,3.42,12.13,7.68,23.23,18.89,0.0,21.41,7.81,0.0,0.0,7.81,0.0,0.0,0.0,0.0,0.0,0.0,248.55,200310000.0,200310000.0,5.16,9.39,16.34,19.63,1.33,15.92,37.6,4.44,15.0,-15.42,-1.5,5.15,5.8,9.17,-9.82,10.04,6.99,-4.56,10.18,1.86,-0.26,3.56,14.38,6.39,8.75,3.98,11.05,16,7
